time_s,load_percent,queue_len
0.00,105.811597,17
0.50,207.616378,25
1.00,299.609116,43
1.50,408.809856,52
2.00,539.804915,63
2.50,625.988897,73
3.00,675.537344,84
3.50,837.271566,110
4.00,881.099574,117
4.50,920.322626,132
5.00,1000.000000,145
5.50,1000.000000,161
6.00,1000.000000,169
6.50,1000.000000,175
7.00,1000.000000,188
7.50,1000.000000,202
8.00,1000.000000,216
8.50,1000.000000,224
9.00,1000.000000,235
9.50,1000.000000,252
10.00,1000.000000,277
10.50,1000.000000,297
11.00,1000.000000,312
11.50,1000.000000,333
12.00,1000.000000,341
12.50,1000.000000,353
13.00,1000.000000,375
13.50,1000.000000,386
14.00,1000.000000,396
14.50,1000.000000,407
15.00,1000.000000,427
15.50,1000.000000,439
16.00,1000.000000,450
16.50,1000.000000,465
17.00,1000.000000,481
17.50,1000.000000,503
18.00,1000.000000,518
18.50,1000.000000,533
19.00,1000.000000,551
19.50,1000.000000,564
20.00,1000.000000,566
20.50,1000.000000,583
21.00,1000.000000,581
21.50,1000.000000,588
22.00,1000.000000,601
22.50,1000.000000,614
23.00,1000.000000,619
23.50,1000.000000,631
24.00,1000.000000,646
24.50,1000.000000,653
25.00,1000.000000,660
25.50,1000.000000,681
26.00,1000.000000,692
26.50,1000.000000,708
27.00,1000.000000,724
27.50,1000.000000,745
28.00,1000.000000,778
28.50,1000.000000,788
29.00,1000.000000,795
29.50,1000.000000,809
30.00,1000.000000,824
30.50,1000.000000,825
31.00,1000.000000,833
31.50,1000.000000,842
32.00,1000.000000,853
32.50,1000.000000,873
33.00,1000.000000,887
33.50,1000.000000,905
34.00,1000.000000,916
34.50,1000.000000,925
35.00,1000.000000,935
35.50,1000.000000,949
36.00,1000.000000,958
36.50,1000.000000,963
37.00,1000.000000,988
37.50,1000.000000,1002
38.00,1000.000000,1019
38.50,1000.000000,1029
39.00,1000.000000,1051
39.50,1000.000000,1072
40.00,1000.000000,1094
40.50,1000.000000,1109
41.00,1000.000000,1123
41.50,1000.000000,1131
42.00,1000.000000,1145
42.50,1000.000000,1158
43.00,1000.000000,1170
43.50,1000.000000,1182
44.00,1000.000000,1198
44.50,1000.000000,1206
45.00,1000.000000,1220
45.50,1000.000000,1236
46.00,1000.000000,1255
46.50,1000.000000,1289
47.00,1000.000000,1292
47.50,1000.000000,1300
48.00,1000.000000,1319
48.50,1000.000000,1339
49.00,1000.000000,1359
49.50,1000.000000,1380
50.00,1000.000000,1385
50.50,1000.000000,1397
51.00,1000.000000,1416
51.50,1000.000000,1430
52.00,1000.000000,1442
52.50,1000.000000,1455
53.00,1000.000000,1471
53.50,1000.000000,1477
54.00,1000.000000,1490
54.50,1000.000000,1503
55.00,1000.000000,1521
55.50,1000.000000,1537
56.00,1000.000000,1552
56.50,1000.000000,1560
57.00,1000.000000,1578
57.50,1000.000000,1587
58.00,1000.000000,1608
58.50,1000.000000,1622
59.00,1000.000000,1624
59.50,1000.000000,1633
