time_s,load_percent,queue_len
0.00,192.199341,6
0.50,255.937876,11
1.00,344.692426,20
1.50,558.371272,31
2.00,695.323355,44
2.50,749.153767,47
3.00,903.809325,58
3.50,1000.000000,70
4.00,1000.000000,80
4.50,1000.000000,92
5.00,1000.000000,98
5.50,1000.000000,102
6.00,1000.000000,111
6.50,1000.000000,128
7.00,1000.000000,135
7.50,1000.000000,142
8.00,1000.000000,150
8.50,1000.000000,160
9.00,1000.000000,166
9.50,1000.000000,176
10.00,1000.000000,188
10.50,1000.000000,204
11.00,1000.000000,212
11.50,1000.000000,220
12.00,1000.000000,231
12.50,1000.000000,238
13.00,1000.000000,243
13.50,1000.000000,250
14.00,1000.000000,257
14.50,1000.000000,267
15.00,1000.000000,279
15.50,1000.000000,287
16.00,1000.000000,295
16.50,1000.000000,304
17.00,1000.000000,319
17.50,1000.000000,330
18.00,1000.000000,341
18.50,1000.000000,349
19.00,1000.000000,361
19.50,1000.000000,367
20.00,1000.000000,380
20.50,1000.000000,388
21.00,1000.000000,397
21.50,1000.000000,402
22.00,1000.000000,414
22.50,1000.000000,422
23.00,1000.000000,431
23.50,1000.000000,439
24.00,1000.000000,449
24.50,1000.000000,458
25.00,1000.000000,464
25.50,1000.000000,469
26.00,1000.000000,477
26.50,1000.000000,484
27.00,1000.000000,495
27.50,1000.000000,503
28.00,1000.000000,514
28.50,1000.000000,525
29.00,1000.000000,532
29.50,1000.000000,542
30.00,1000.000000,551
30.50,1000.000000,559
31.00,1000.000000,573
31.50,1000.000000,582
32.00,1000.000000,589
32.50,1000.000000,596
33.00,1000.000000,608
33.50,1000.000000,613
34.00,1000.000000,620
34.50,1000.000000,631
35.00,1000.000000,638
35.50,1000.000000,648
36.00,1000.000000,659
36.50,1000.000000,678
37.00,1000.000000,686
37.50,1000.000000,700
38.00,1000.000000,715
38.50,1000.000000,724
39.00,1000.000000,731
39.50,1000.000000,746
40.00,1000.000000,760
40.50,1000.000000,768
41.00,1000.000000,772
41.50,1000.000000,782
42.00,1000.000000,793
42.50,1000.000000,809
43.00,1000.000000,826
43.50,1000.000000,839
44.00,1000.000000,848
44.50,1000.000000,856
45.00,1000.000000,869
45.50,1000.000000,876
46.00,1000.000000,885
46.50,1000.000000,899
47.00,1000.000000,908
47.50,1000.000000,919
48.00,1000.000000,928
48.50,1000.000000,937
49.00,1000.000000,951
49.50,1000.000000,960
50.00,1000.000000,978
50.50,1000.000000,989
51.00,1000.000000,1000
51.50,1000.000000,1007
52.00,1000.000000,1011
52.50,1000.000000,1026
53.00,1000.000000,1037
53.50,1000.000000,1045
54.00,1000.000000,1057
54.50,1000.000000,1064
55.00,1000.000000,1081
55.50,1000.000000,1089
56.00,1000.000000,1094
56.50,1000.000000,1109
57.00,1000.000000,1116
57.50,1000.000000,1127
58.00,1000.000000,1136
58.50,1000.000000,1150
59.00,1000.000000,1163
59.50,1000.000000,1167
